"Simulation" "Statistic" "Tool" "Value"
"172" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.888271312495706
"173" "RSEMsim" "spearmans" "Sailfish_cor" 0.884171433929134
"174" "RSEMsim" "spearmans" "eXpress_cor" 0.570111347229698
"175" "RSEMsim" "spearmans" "Kallisto_cor" 0.889069619471316
"176" "RSEMsim" "spearmans" "RSEM_cor" 0.866727978551953
"177" "RSEMsim" "spearmans" "Salmon_align_cor" 0.802329524286958
"178" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.886427015377503
"179" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.890027359414243
"180" "RSEMsim" "spearmans" "Sailfish_cor" 0.883072515522892
"181" "RSEMsim" "spearmans" "eXpress_cor" 0.56542035074785
"182" "RSEMsim" "spearmans" "Kallisto_cor" 0.889203853665835
"183" "RSEMsim" "spearmans" "RSEM_cor" 0.868043879753058
"184" "RSEMsim" "spearmans" "Salmon_align_cor" 0.795870613955027
"185" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.886087447725332
"186" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.891148769889175
"187" "RSEMsim" "spearmans" "Sailfish_cor" 0.880227230319896
"188" "RSEMsim" "spearmans" "eXpress_cor" 0.552055979017086
"189" "RSEMsim" "spearmans" "Kallisto_cor" 0.886579236197996
"190" "RSEMsim" "spearmans" "RSEM_cor" 0.866351345109372
"191" "RSEMsim" "spearmans" "Salmon_align_cor" 0.798905059681241
"192" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.888319771031708
"193" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.892099724627338
"194" "RSEMsim" "spearmans" "Sailfish_cor" 0.884287508942054
"195" "RSEMsim" "spearmans" "eXpress_cor" 0.562345659347621
"196" "RSEMsim" "spearmans" "Kallisto_cor" 0.888979134370246
"197" "RSEMsim" "spearmans" "RSEM_cor" 0.87460495123558
"198" "RSEMsim" "spearmans" "Salmon_align_cor" 0.812467771340696
"199" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.89261814392294
"200" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.898064798860068
"201" "RSEMsim" "spearmans" "Sailfish_cor" 0.886605096153098
"202" "RSEMsim" "spearmans" "eXpress_cor" 0.553842671902316
"203" "RSEMsim" "spearmans" "Kallisto_cor" 0.894353808197136
"204" "RSEMsim" "spearmans" "RSEM_cor" 0.888042432382991
"205" "RSEMsim" "spearmans" "Salmon_align_cor" 0.820808104303
"206" "RSEMsim" "spearmans" "Salmon_quasi_cor" 0.908585051890078
"207" "RSEMsim" "spearmans" "Salmon_SMEM_cor" 0.913058434264189
"208" "RSEMsim" "spearmans" "Sailfish_cor" 0.904266428305215
"209" "RSEMsim" "spearmans" "eXpress_cor" 0.58621237929928
