"Statistic" "Tool" "Sample_name" "Value"
"114" "F1" "Salmon_align_F1" "B_B_M_1_B1.Aligned.sortedByCoord.out.ex.bam" 0.926815887645381
"115" "F1" "Salmon_quasi_F1" "B_B_M_1_B1.Aligned.sortedByCoord.out.ex.bam" 0.932593574031136
"116" "F1" "Salmon_SMEM_F1" "B_B_M_1_B1.Aligned.sortedByCoord.out.ex.bam" 0.933495360141405
"117" "F1" "Sailfish_F1" "B_B_M_1_B1.Aligned.sortedByCoord.out.ex.bam" 0.932712224851091
"118" "F1" "eXpress_F1" "B_B_M_1_B1.Aligned.sortedByCoord.out.ex.bam" 0.810105432520866
"119" "F1" "Kallisto_F1" "B_B_M_1_B1.Aligned.sortedByCoord.out.ex.bam" 0.933716941462875
"120" "F1" "RSEM_F1" "B_B_M_1_B2.Aligned.sortedByCoord.out.ex.bam" 0.940741004377691
"121" "F1" "Salmon_align_F1" "B_B_M_1_B2.Aligned.sortedByCoord.out.ex.bam" 0.931220823808648
"122" "F1" "Salmon_quasi_F1" "B_B_M_1_B2.Aligned.sortedByCoord.out.ex.bam" 0.93508436831589
"123" "F1" "Salmon_SMEM_F1" "B_B_M_1_B2.Aligned.sortedByCoord.out.ex.bam" 0.936292432799133
"124" "F1" "Sailfish_F1" "B_B_M_1_B2.Aligned.sortedByCoord.out.ex.bam" 0.934354581988621
"125" "F1" "eXpress_F1" "B_B_M_1_B2.Aligned.sortedByCoord.out.ex.bam" 0.821435280150876
"126" "F1" "Kallisto_F1" "B_B_M_1_B2.Aligned.sortedByCoord.out.ex.bam" 0.935948864888693
"127" "F1" "RSEM_F1" "B_B_M_1_B3.Aligned.sortedByCoord.out.ex.bam" 0.94489580562967
"128" "F1" "Salmon_align_F1" "B_B_M_1_B3.Aligned.sortedByCoord.out.ex.bam" 0.928503856479311
"129" "F1" "Salmon_quasi_F1" "B_B_M_1_B3.Aligned.sortedByCoord.out.ex.bam" 0.938557435440784
"130" "F1" "Salmon_SMEM_F1" "B_B_M_1_B3.Aligned.sortedByCoord.out.ex.bam" 0.939656782034526
"131" "F1" "Sailfish_F1" "B_B_M_1_B3.Aligned.sortedByCoord.out.ex.bam" 0.93809435017714
"132" "F1" "eXpress_F1" "B_B_M_1_B3.Aligned.sortedByCoord.out.ex.bam" 0.828980044993718
"133" "F1" "Kallisto_F1" "B_B_M_1_B3.Aligned.sortedByCoord.out.ex.bam" 0.939493313849761
"134" "F1" "RSEM_F1" "ERR522956" 0.935712048925157
"135" "F1" "Salmon_align_F1" "ERR522956" 0.692041919673091
"136" "F1" "Salmon_quasi_F1" "ERR522956" 0.93396139958577
"137" "F1" "Salmon_SMEM_F1" "ERR522956" 0.934788795754799
"138" "F1" "Sailfish_F1" "ERR522956" 0.933729470991169
"139" "F1" "eXpress_F1" "ERR522956" 0.775124147047265
"140" "F1" "Kallisto_F1" "ERR522956" 0.93619059903079
