"Var1" "Var2" "value" "statistic"
"185" "Salmon_quasi_cor" "ERR1211205" 0.89770777685548 "spearmans"
"186" "Salmon_SMEM_cor" "ERR1211205" 0.903331872163128 "spearmans"
"187" "Sailfish_cor" "ERR1211205" 0.894199026953506 "spearmans"
"188" "eXpress_cor" "ERR1211205" 0.673973707239561 "spearmans"
"189" "Kallisto_cor" "ERR1211205" 0.898929528203624 "spearmans"
"190" "RSEM_cor" "ERR1211207" 0.84728583516633 "spearmans"
"191" "Salmon_align_cor" "ERR1211207" 0.807272594454778 "spearmans"
"192" "Salmon_quasi_cor" "ERR1211207" 0.845531841423103 "spearmans"
"193" "Salmon_SMEM_cor" "ERR1211207" 0.849855403232521 "spearmans"
"194" "Sailfish_cor" "ERR1211207" 0.843091344330302 "spearmans"
"195" "eXpress_cor" "ERR1211207" 0.609718832744009 "spearmans"
"196" "Kallisto_cor" "ERR1211207" 0.846956870413192 "spearmans"
"197" "RSEM_cor" "ERR1211208" 0.886530315782337 "spearmans"
"198" "Salmon_align_cor" "ERR1211208" 0.848065618891268 "spearmans"
"199" "Salmon_quasi_cor" "ERR1211208" 0.890435345638575 "spearmans"
"200" "Salmon_SMEM_cor" "ERR1211208" 0.89368838033588 "spearmans"
"201" "Sailfish_cor" "ERR1211208" 0.886126210934635 "spearmans"
"202" "eXpress_cor" "ERR1211208" 0.666004043540613 "spearmans"
"203" "Kallisto_cor" "ERR1211208" 0.892929959290208 "spearmans"
"204" "RSEM_cor" "ERR1211209" 0.821923656283628 "spearmans"
"205" "Salmon_align_cor" "ERR1211209" 0.783875708120308 "spearmans"
"206" "Salmon_quasi_cor" "ERR1211209" 0.81426920529431 "spearmans"
"207" "Salmon_SMEM_cor" "ERR1211209" 0.819165524852239 "spearmans"
"208" "Sailfish_cor" "ERR1211209" 0.812843673277564 "spearmans"
"209" "eXpress_cor" "ERR1211209" 0.588988660955457 "spearmans"
"210" "Kallisto_cor" "ERR1211209" 0.815501817544265 "spearmans"
"211" "RSEM_cor" "ERR1211210" 0.827606669324193 "spearmans"
"212" "Salmon_align_cor" "ERR1211210" 0.794117053256459 "spearmans"
"213" "Salmon_quasi_cor" "ERR1211210" 0.82037282859055 "spearmans"
"214" "Salmon_SMEM_cor" "ERR1211210" 0.825435475839023 "spearmans"
"215" "Sailfish_cor" "ERR1211210" 0.817877209706437 "spearmans"
"216" "eXpress_cor" "ERR1211210" 0.596389446159691 "spearmans"
"217" "Kallisto_cor" "ERR1211210" 0.821515766711224 "spearmans"
"218" "RSEM_cor" "ERR1211211" 0.876054638497104 "spearmans"
"219" "Salmon_align_cor" "ERR1211211" 0.831530133272895 "spearmans"
"220" "Salmon_quasi_cor" "ERR1211211" 0.883050663701204 "spearmans"
"221" "Salmon_SMEM_cor" "ERR1211211" 0.889309505592351 "spearmans"
"222" "Sailfish_cor" "ERR1211211" 0.879554273137345 "spearmans"
"223" "eXpress_cor" "ERR1211211" 0.653634464053166 "spearmans"
"224" "Kallisto_cor" "ERR1211211" 0.885069924003167 "spearmans"
"225" "RSEM_cor" "ERR1211212" 0.881228681824932 "spearmans"
"226" "Salmon_align_cor" "ERR1211212" 0.835234239662286 "spearmans"
"227" "Salmon_quasi_cor" "ERR1211212" 0.886355026375802 "spearmans"
"228" "Salmon_SMEM_cor" "ERR1211212" 0.891737075427054 "spearmans"
"229" "Sailfish_cor" "ERR1211212" 0.882275260841789 "spearmans"
"230" "eXpress_cor" "ERR1211212" 0.659001593595559 "spearmans"
"231" "Kallisto_cor" "ERR1211212" 0.887948016650692 "spearmans"
"232" "RSEM_cor" "ERR1211213" 0.880524690913761 "spearmans"
"233" "Salmon_align_cor" "ERR1211213" 0.836965207643859 "spearmans"
"234" "Salmon_quasi_cor" "ERR1211213" 0.885632663779379 "spearmans"
"235" "Salmon_SMEM_cor" "ERR1211213" 0.890021567134825 "spearmans"
"236" "Sailfish_cor" "ERR1211213" 0.88197898886635 "spearmans"
"237" "eXpress_cor" "ERR1211213" 0.651438274089973 "spearmans"
"238" "Kallisto_cor" "ERR1211213" 0.887076642265453 "spearmans"
"239" "RSEM_cor" "ERR1211214" 0.878989715798148 "spearmans"
"240" "Salmon_align_cor" "ERR1211214" 0.840700284899055 "spearmans"
"241" "Salmon_quasi_cor" "ERR1211214" 0.879448013878802 "spearmans"
"242" "Salmon_SMEM_cor" "ERR1211214" 0.883466588250491 "spearmans"
"243" "Sailfish_cor" "ERR1211214" 0.874335051008643 "spearmans"
"244" "eXpress_cor" "ERR1211214" 0.651551297761867 "spearmans"
"245" "Kallisto_cor" "ERR1211214" 0.880839973999211 "spearmans"
"246" "RSEM_cor" "ERR1211217" 0.874684193157937 "spearmans"
"247" "Salmon_align_cor" "ERR1211217" 0.830182602193512 "spearmans"
"248" "Salmon_quasi_cor" "ERR1211217" 0.87970743095362 "spearmans"
"249" "Salmon_SMEM_cor" "ERR1211217" 0.884859553265286 "spearmans"
"250" "Sailfish_cor" "ERR1211217" 0.876975983270559 "spearmans"
"251" "eXpress_cor" "ERR1211217" 0.644989965759642 "spearmans"
"252" "Kallisto_cor" "ERR1211217" 0.879637144853073 "spearmans"
"253" "RSEM_cor" "ERR1211218" 0.877127423209217 "spearmans"
"254" "Salmon_align_cor" "ERR1211218" 0.831933615572173 "spearmans"
"255" "Salmon_quasi_cor" "ERR1211218" 0.887254063291438 "spearmans"
"256" "Salmon_SMEM_cor" "ERR1211218" 0.892304203160533 "spearmans"
"257" "Sailfish_cor" "ERR1211218" 0.882454608610245 "spearmans"
"258" "eXpress_cor" "ERR1211218" 0.65425093100673 "spearmans"
"259" "Kallisto_cor" "ERR1211218" 0.888530998024049 "spearmans"
"260" "RSEM_cor" "ERR1211219" 0.859335792817119 "spearmans"
"261" "Salmon_align_cor" "ERR1211219" 0.824482703301927 "spearmans"
"262" "Salmon_quasi_cor" "ERR1211219" 0.856150788630297 "spearmans"
"263" "Salmon_SMEM_cor" "ERR1211219" 0.858883035077925 "spearmans"
"264" "Sailfish_cor" "ERR1211219" 0.851517792531614 "spearmans"
"265" "eXpress_cor" "ERR1211219" 0.626751345613486 "spearmans"
"266" "Kallisto_cor" "ERR1211219" 0.856128126183247 "spearmans"
"267" "RSEM_cor" "ERR1211220" 0.869650590941104 "spearmans"
"268" "Salmon_align_cor" "ERR1211220" 0.826174104930152 "spearmans"
"269" "Salmon_quasi_cor" "ERR1211220" 0.874860535295098 "spearmans"
"270" "Salmon_SMEM_cor" "ERR1211220" 0.880427050023123 "spearmans"
"271" "Sailfish_cor" "ERR1211220" 0.872540721227767 "spearmans"
"272" "eXpress_cor" "ERR1211220" 0.637643606963507 "spearmans"
"273" "Kallisto_cor" "ERR1211220" 0.876991094042551 "spearmans"
"274" "RSEM_cor" "ERR1211221" 0.876465883535742 "spearmans"
"275" "Salmon_align_cor" "ERR1211221" 0.8310168799145 "spearmans"
"276" "Salmon_quasi_cor" "ERR1211221" 0.882263091130128 "spearmans"
"277" "Salmon_SMEM_cor" "ERR1211221" 0.886976301479521 "spearmans"
"278" "Sailfish_cor" "ERR1211221" 0.876353689911383 "spearmans"
"279" "eXpress_cor" "ERR1211221" 0.647280078315307 "spearmans"
"280" "Kallisto_cor" "ERR1211221" 0.882726276662342 "spearmans"
"281" "RSEM_cor" "ERR1211222" 0.881668555019261 "spearmans"
"282" "Salmon_align_cor" "ERR1211222" 0.842153796125582 "spearmans"
"283" "Salmon_quasi_cor" "ERR1211222" 0.884669907916811 "spearmans"
"284" "Salmon_SMEM_cor" "ERR1211222" 0.889119383357296 "spearmans"
"285" "Sailfish_cor" "ERR1211222" 0.880731132309058 "spearmans"
"286" "eXpress_cor" "ERR1211222" 0.653714925531619 "spearmans"
"287" "Kallisto_cor" "ERR1211222" 0.887256753496682 "spearmans"
"288" "RSEM_cor" "ERR1211223" 0.8611301475305 "spearmans"
"289" "Salmon_align_cor" "ERR1211223" 0.81903127834417 "spearmans"
"290" "Salmon_quasi_cor" "ERR1211223" 0.865824367064038 "spearmans"
"291" "Salmon_SMEM_cor" "ERR1211223" 0.869793655093441 "spearmans"
"292" "Sailfish_cor" "ERR1211223" 0.861714098896145 "spearmans"
"293" "eXpress_cor" "ERR1211223" 0.63686996376338 "spearmans"
"294" "Kallisto_cor" "ERR1211223" 0.865917497474941 "spearmans"
"295" "RSEM_cor" "ERR1211224" 0.877307775464401 "spearmans"
"296" "Salmon_align_cor" "ERR1211224" 0.827460170282696 "spearmans"
"297" "Salmon_quasi_cor" "ERR1211224" 0.88207190583198 "spearmans"
"298" "Salmon_SMEM_cor" "ERR1211224" 0.886824662396175 "spearmans"
"299" "Sailfish_cor" "ERR1211224" 0.879059367836049 "spearmans"
"300" "eXpress_cor" "ERR1211224" 0.654932839850786 "spearmans"
"301" "Kallisto_cor" "ERR1211224" 0.884487164724769 "spearmans"
"302" "RSEM_cor" "ERR1211225" 0.858164190025221 "spearmans"
"303" "Salmon_align_cor" "ERR1211225" 0.820542056724366 "spearmans"
"304" "Salmon_quasi_cor" "ERR1211225" 0.858534894489365 "spearmans"
"305" "Salmon_SMEM_cor" "ERR1211225" 0.862917748364875 "spearmans"
"306" "Sailfish_cor" "ERR1211225" 0.855207849889653 "spearmans"
"307" "eXpress_cor" "ERR1211225" 0.622812796855342 "spearmans"
"308" "Kallisto_cor" "ERR1211225" 0.858331191473995 "spearmans"
"309" "RSEM_cor" "ERR1211226" 0.884938891008949 "spearmans"
"310" "Salmon_align_cor" "ERR1211226" 0.847283249248138 "spearmans"
"311" "Salmon_quasi_cor" "ERR1211226" 0.885707677117052 "spearmans"
"312" "Salmon_SMEM_cor" "ERR1211226" 0.889994859894566 "spearmans"
"313" "Sailfish_cor" "ERR1211226" 0.880954815191441 "spearmans"
"314" "eXpress_cor" "ERR1211226" 0.660223031229537 "spearmans"
"315" "Kallisto_cor" "ERR1211226" 0.886726871461816 "spearmans"
"316" "RSEM_cor" "ERR1211227" 0.887828346852046 "spearmans"
"317" "Salmon_align_cor" "ERR1211227" 0.852775849549195 "spearmans"
"318" "Salmon_quasi_cor" "ERR1211227" 0.886614069967497 "spearmans"
"319" "Salmon_SMEM_cor" "ERR1211227" 0.892578709397102 "spearmans"
"320" "Sailfish_cor" "ERR1211227" 0.8795652792696 "spearmans"
"321" "eXpress_cor" "ERR1211227" 0.664805784838868 "spearmans"
"322" "Kallisto_cor" "ERR1211227" 0.887881814148632 "spearmans"
"323" "RSEM_cor" "ERR1211228" 0.830222095063775 "spearmans"
"324" "Salmon_align_cor" "ERR1211228" 0.797763177492777 "spearmans"
"325" "Salmon_quasi_cor" "ERR1211228" 0.825920841966216 "spearmans"
"326" "Salmon_SMEM_cor" "ERR1211228" 0.829225334602463 "spearmans"
