"Simulation" "Statistic" "Tool" "Value" "ID"
"221" "RSEMsim" "nrmse" "Salmon_SMEM_nmrse" 16.1 "all"
"222" "RSEMsim" "nrmse" "Sailfish_nmrse" 17.2 "all"
"223" "RSEMsim" "nrmse" "eXpress_nmrse" 47.1 "all"
"224" "RSEMsim" "nrmse" "Kallisto_nmrse" 16.1 "all"
"225" "RSEMsim" "nrmse" "RSEM_nmrse" 19.3 "all"
"226" "RSEMsim" "nrmse" "Salmon_align_nmrse" 27.3 "all"
"227" "RSEMsim" "nrmse" "Salmon_quasi_nmrse" 17.8 "all"
"228" "RSEMsim" "nrmse" "Salmon_SMEM_nmrse" 17 "all"
"229" "RSEMsim" "nrmse" "Sailfish_nmrse" 19.4 "all"
"230" "RSEMsim" "nrmse" "eXpress_nmrse" 38.7 "all"
"231" "RSEMsim" "nrmse" "Kallisto_nmrse" 17.7 "all"
"232" "RSEMsim" "nrmse" "RSEM_nmrse" 17 "all"
"233" "RSEMsim" "nrmse" "Salmon_align_nmrse" 26.9 "all"
"234" "RSEMsim" "nrmse" "Salmon_quasi_nmrse" 15.2 "all"
"235" "RSEMsim" "nrmse" "Salmon_SMEM_nmrse" 14.8 "all"
"236" "RSEMsim" "nrmse" "Sailfish_nmrse" 16 "all"
"237" "RSEMsim" "nrmse" "eXpress_nmrse" 40.7 "all"
"238" "RSEMsim" "nrmse" "Kallisto_nmrse" 15.3 "all"
"239" "RSEMsim" "nrmse" "RSEM_nmrse" 21.9 "all"
"240" "RSEMsim" "nrmse" "Salmon_align_nmrse" 30.6 "all"
"241" "RSEMsim" "nrmse" "Salmon_quasi_nmrse" 19.6 "all"
"242" "RSEMsim" "nrmse" "Salmon_SMEM_nmrse" 19.6 "all"
"243" "RSEMsim" "nrmse" "Sailfish_nmrse" 21 "all"
"244" "RSEMsim" "nrmse" "eXpress_nmrse" 41.9 "all"
"245" "RSEMsim" "nrmse" "Kallisto_nmrse" 19.7 "all"
"246" "RSEMsim" "nrmse" "RSEM_nmrse" 19.1 "all"
"247" "RSEMsim" "nrmse" "Salmon_align_nmrse" 27.5 "all"
"248" "RSEMsim" "nrmse" "Salmon_quasi_nmrse" 17.1 "all"
"249" "RSEMsim" "nrmse" "Salmon_SMEM_nmrse" 17 "all"
"250" "RSEMsim" "nrmse" "Sailfish_nmrse" 18.4 "all"
"251" "RSEMsim" "nrmse" "eXpress_nmrse" 46 "all"
"252" "RSEMsim" "nrmse" "Kallisto_nmrse" 17 "all"
"253" "RSEMsim" "nrmse" "RSEM_nmrse" 17.9 "all"
"254" "RSEMsim" "nrmse" "Salmon_align_nmrse" 26.6 "all"
"255" "RSEMsim" "nrmse" "Salmon_quasi_nmrse" 15.7 "all"
